,level_0,index,naics,complexity,firm_prpn,NUMBER_FIRMS
0,0,0,519130,10,1.0,6475
1,1,270,325414,7,1.0,235
2,2,352,311612,7,0.7560975609756098,1245
3,3,393,332991,2,0.9166666666666666,113
4,4,405,441110,7,0.5263157894736842,17305
5,5,500,311314,3,0.7692307692307693,45
6,6,526,314999,6,0.38461538461538464,2591
7,7,565,327213,4,1.0,44
8,8,586,335921,3,1.0,97
9,9,597,423940,4,0.0,7050
10,10,622,311611,6,1.0,1344
11,11,674,423830,6,0.5652173913043478,21776
12,12,720,312140,8,0.8078817733990148,696
13,13,923,325998,8,1.0,1005
14,14,997,316210,5,1.0,214
15,15,1094,488510,4,0.3125,14735
16,16,1126,316998,2,1.0,657
17,17,1138,115114,2,0.4166666666666667,801
18,18,1162,424490,5,0.6296296296296297,9912
19,19,1216,311423,2,0.23076923076923078,181
20,20,1229,311710,6,0.7727272727272727,498
21,21,1273,336211,7,0.4057971014492754,621
22,22,1342,315220,9,1.0,460
23,23,1412,336411,4,0.8472222222222222,283
24,24,1484,522110,8,0.9242424242424242,5086
25,25,1616,448140,6,0.855072463768116,6840
26,26,1685,312230,7,0.8969072164948454,121
27,27,1782,325412,10,0.7837837837837838,1017
28,28,2374,442299,4,0.7368421052631579,7811
29,29,2412,483111,6,0.7428571428571429,198
30,30,2447,524126,3,1.0,2443
31,31,2477,488310,6,0.8507462686567164,275
32,32,2544,488119,3,0.0,1037
33,33,2571,443142,6,0.5818181818181818,16636
34,34,2626,331110,9,0.9,442
35,35,2826,325130,6,0.6923076923076923,117
36,36,2865,332996,7,0.6428571428571429,671
37,37,2907,517919,4,0.5833333333333334,4330
38,38,2955,331410,3,0.6,148
39,39,2975,423910,5,0.4,4968
40,40,3010,336111,10,0.9043824701195219,168
41,41,3261,325199,6,0.3548387096774194,584
42,42,3292,311421,3,1.0,720
43,43,3308,448120,2,1.0,12992
44,44,3325,812331,2,1.0,590
45,45,3345,315240,7,1.0,1043
46,46,3388,424320,3,1.0,3198
47,47,3401,325311,8,0.8478260869565217,165
48,48,3447,311119,3,0.0,887
49,49,3464,331313,8,0.5797101449275363,61
50,50,3533,334220,6,0.967741935483871,670
51,51,3595,324110,9,1.0,96
52,52,3825,334419,3,1.0,1010
53,53,3847,424690,6,0.8125,5912
54,54,3895,492110,9,1.0,4132
55,55,4034,334513,4,1.0,764
56,56,4047,212291,2,1.0,15
57,57,4076,336320,2,1.0,577
58,58,4085,424460,4,0.5862068965517241,2071
59,59,4143,336390,4,0.8421052631578947,1175
60,60,4162,333618,5,1.0,267
61,61,4191,238210,5,0.6666666666666666,71249
62,62,4230,522320,3,0.9484536082474226,2907
63,63,4327,811111,6,0.6610169491525424,77501
64,64,4386,326211,7,0.6470588235294118,76
65,65,4454,488320,2,0.5,294
66,66,4474,424330,2,0.0,7254
67,67,4494,334511,5,1.0,419
68,68,4516,334413,10,0.9146341463414634,785
69,69,4844,424210,7,0.6507936507936508,6833
70,70,4907,541512,9,0.5857142857142857,43032
71,71,5047,541820,3,0.0,7997
72,72,5067,311224,2,0.5,99
73,73,5087,327310,4,0.9642857142857143,110
74,74,5115,325110,3,0.5238095238095238,46
75,75,5136,541211,2,0.65,52921
76,76,5156,524210,9,0.2826086956521739,122410
77,77,5202,331221,1,1.0,147
78,78,5222,312130,6,0.5671641791044776,3485
79,79,5289,339999,2,0.7272727272727273,3527
80,80,5311,237990,2,0.42857142857142855,4217
81,81,5318,238910,3,0.5,34153
82,82,5338,335311,5,0.4411764705882353,219
83,83,5372,331222,4,1.0,206
84,84,5391,322121,6,1.0,134
85,85,5421,213112,7,0.7428571428571429,8727
86,86,5456,335312,8,1.0,405
87,87,5554,336413,10,1.0,738
88,88,5630,561450,4,1.0,335
89,89,5642,424480,6,0.4444444444444444,4415
90,90,5678,523910,5,0.4444444444444444,7021
91,91,5714,332215,4,0.5121951219512195,208
92,92,5755,334210,4,1.0,223
93,93,5800,311351,8,0.1694915254237288,200
94,94,5859,333111,4,1.0,1071
95,95,5889,523110,5,0.875,2377
96,96,5953,423930,3,0.6296296296296297,6776
97,97,5980,312120,8,0.9306930693069307,2753
98,98,6081,511210,9,0.6929824561403509,7296
99,99,6309,311422,4,1.0,113
100,100,6330,541511,7,0.02,62928
101,101,6380,451130,3,1.0,3246
102,102,6401,512110,4,0.6875,13771
103,103,6433,541613,5,0.30952380952380953,36301
104,104,6475,325611,6,0.9393939393939394,602
105,105,6508,448110,3,1.0,3644
106,106,6531,334412,6,0.21052631578947367,465
107,107,6550,325211,6,1.0,855
108,108,6667,212399,4,1.0,174
109,109,6702,722513,4,1.0,151356
110,110,6725,424430,6,0.2564102564102564,1519
111,111,6764,339920,7,0.6666666666666666,1630
112,112,6815,337910,3,1.0,344
113,113,6826,321211,2,0.0,226
114,114,6846,336510,2,1.0,158
